studentID,siteID,classID,blockID,condition,mcap,conceptsubscore_pre,conceptsubscore_post
306,1,1,1,Concepts-First,12,6,20
311,1,1,1,Concepts-First,13,5,3
312,1,1,1,Control,14,7,20
315,1,1,1,Iterative,11,7,20
319,1,1,1,Control,13,8,7
320,1,1,1,Control,14,13,19
321,1,1,1,Iterative,16,9,19
301,1,1,2,Concepts-First,12,7,19
302,1,1,2,Control,29,7,19
309,1,1,2,Concepts-First,13,20,20
313,1,1,2,Control,23,20,19
317,1,1,2,Iterative,,19,
318,1,1,2,Iterative,9,8,13
323,1,1,2,Concepts-First,23,20,20
324,1,1,2,Iterative,15,12,19
303,1,1,3,Concepts-First,31,19,20
304,1,1,3,Concepts-First,15,18,19
305,1,1,3,Control,22,20,18
307,1,1,3,Control,25,20,20
314,1,1,3,Iterative,28,20,20
325,1,1,3,Iterative,16,10,20
326,1,1,3,Control,14,15,20
327,1,1,3,Concepts-First,11,20,19
407,1,2,4,Concepts-First,3,20,20
411,1,2,4,Concepts-First,14,6,
416,1,2,4,Iterative,17,4,20
419,1,2,4,Control,9,6,20
420,1,2,4,Control,10,0,9
423,1,2,4,Concepts-First,4,5,2
424,1,2,4,Iterative,21,0,12
428,1,2,4,Iterative,8,7,20
401,1,2,5,Concepts-First,10,14,19
403,1,2,5,Concepts-First,22,14,20
410,1,2,5,Iterative,21,7,20
412,1,2,5,Control,11,14,10
413,1,2,5,Concepts-First,11,20,20
414,1,2,5,Control,,12,20
418,1,2,5,Iterative,20,5,20
421,1,2,5,Iterative,10,10,20
427,1,2,5,Control,7,6,18
402,1,2,6,Control,11,18,20
404,1,2,6,Iterative,15,19,20
406,1,2,6,Concepts-First,34,20,20
408,1,2,6,Iterative,22,19,19
409,1,2,6,Iterative,27,20,20
415,1,2,6,Concepts-First,16,17,20
417,1,2,6,Control,18,20,20
422,1,2,6,Control,18,18,19
426,1,2,6,Concepts-First,15,15,20
501,1,3,7,Concepts-First,6,1,3
505,1,3,7,Control,13,14,13
510,1,3,7,Concepts-First,25,15,20
514,1,3,7,Iterative,18,14,19
518,1,3,7,Control,14,6,6
519,1,3,7,Control,15,0,18
524,1,3,7,Iterative,10,7,12
503,1,3,8,Control,,9,19
506,1,3,8,Control,12,6,20
507,1,3,8,Concepts-First,12,12,18
517,1,3,8,Concepts-First,19,3,20
521,1,3,8,Concepts-First,6,7,20
522,1,3,8,Iterative,10,5,3
525,1,3,8,Iterative,17,10,18
526,1,3,8,Control,8,13,9
528,1,3,8,Iterative,18,10,20
504,1,3,9,Iterative,,18,20
508,1,3,9,Concepts-First,7,20,20
511,1,3,9,Control,15,18,19
512,1,3,9,Concepts-First,10,,18
513,1,3,9,Iterative,14,20,19
516,1,3,9,Control,23,18,19
520,1,3,9,Iterative,20,19,20
523,1,3,9,Concepts-First,,20,19
527,1,3,9,Control,21,19,
105,2,4,10,Concepts-First,11,3,19
113,2,4,10,Iterative,2,3,13
116,2,4,10,Control,5,2,0
119,2,4,10,Concepts-First,7,11,18
120,2,4,10,Iterative,10,2,19
124,2,4,10,Concepts-First,5,17,12
125,2,4,10,Control,5,3,13
103,2,4,11,Concepts-First,16,18,19
110,2,4,11,Concepts-First,18,13,20
111,2,4,11,Iterative,,19,8
118,2,4,11,Iterative,6,16,19
121,2,4,11,Control,17,9,19
122,2,4,11,Iterative,18,17,20
123,2,4,11,Control,,16,
101,2,4,12,Concepts-First,8,19,19
102,2,4,12,Iterative,6,20,20
104,2,4,12,Control,14,20,20
108,2,4,12,Control,22,20,19
109,2,4,12,Concepts-First,15,18,19
114,2,4,12,Control,11,20,20
115,2,4,12,Iterative,14,20,19
205,2,5,13,Control,12,9,9
209,2,5,13,Concepts-First,3,1,6
210,2,5,13,Iterative,15,4,17
213,2,5,13,Control,5,1,7
214,2,5,13,Concepts-First,6,19,14
224,2,5,13,Iterative,7,19,19
202,2,5,14,Concepts-First,15,14,20
203,2,5,14,Iterative,20,13,13
204,2,5,14,Control,7,17,18
207,2,5,14,Iterative,16,13,18
211,2,5,14,Control,5,5,12
220,2,5,14,Concepts-First,15,15,20
206,2,5,15,Iterative,8,3,20
208,2,5,15,Concepts-First,17,8,20
215,2,5,15,Iterative,14,17,17
216,2,5,15,Control,22,19,20
217,2,5,15,Iterative,29,20,20
218,2,5,15,Concepts-First,15,13,20
222,2,5,15,Control,23,19,20
